City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Hualmay,-11.0964,-77.6139,62.08,81,65,6.93,PE,2022-09-16 00:44:33
146,Banjarmasin,-3.3244,114.591,78.94,78,100,2.24,ID,2022-09-16 00:47:59
147,Thompson,55.7435,-97.8558,64.56,63,20,2.3,CA,2022-09-16 00:45:47
148,Novobirilyussy,56.9514,90.6661,41.85,76,43,3.22,RU,2022-09-16 00:48:16
149,Cabra,37.4725,-4.4421,67.21,68,0,0.98,ES,2022-09-16 00:48:16
150,Anloga,5.7947,0.8973,76.84,86,100,12.41,GH,2022-09-16 00:48:17
151,Lata,40.1629,-8.3327,66.07,95,1,1.86,PT,2022-09-16 00:48:17
152,Bilma,18.6853,12.9164,94.55,16,96,5.55,NE,2022-09-16 00:48:18
153,Whitecourt,54.1502,-115.6855,65.44,63,75,0.0,CA,2022-09-16 00:48:18
154,Kapaa,22.0752,-159.319,84.52,66,20,9.22,US,2022-09-16 00:48:18
155,Chuy,-33.6971,-53.4616,53.31,94,0,6.35,UY,2022-09-16 00:48:19
156,Udachnyy,66.4167,112.4,43.45,75,100,24.87,RU,2022-09-16 00:48:19
157,Bluff,-46.6,168.3333,46.8,55,65,8.1,NZ,2022-09-16 00:45:49
158,Los Llanos De Aridane,28.6585,-17.9182,73.15,90,100,18.41,ES,2022-09-16 00:48:20
159,Alihe,50.5667,123.7167,56.19,60,64,3.11,CN,2022-09-16 00:48:20
160,Ewa Beach,21.3156,-158.0072,85.41,69,75,12.66,US,2022-09-16 00:48:21
161,Sorland,67.667,12.6934,53.46,75,98,12.8,NO,2022-09-16 00:48:21
162,Lodja,-3.4833,23.4333,68.04,98,81,1.01,CD,2022-09-16 00:48:21
163,Nieuw Amsterdam,5.8833,-55.0833,84.22,79,0,5.75,SR,2022-09-16 00:48:22
164,Padang,-0.9492,100.3543,77.05,86,100,1.3,ID,2022-09-16 00:48:22
165,Hailar,49.2,119.7,67.48,38,13,5.88,CN,2022-09-16 00:48:23
166,Esperance,-33.8667,121.9,56.1,68,100,24.27,AU,2022-09-16 00:48:23
167,Tuatapere,-46.1333,167.6833,47.88,61,96,4.97,NZ,2022-09-16 00:48:23
168,Provideniya,64.3833,-173.3,51.91,76,100,13.42,RU,2022-09-16 00:45:36
169,Ust-Nera,64.5667,143.2,36.99,80,100,5.53,RU,2022-09-16 00:44:14
170,Te Anau,-45.4167,167.7167,47.1,67,76,1.9,NZ,2022-09-16 00:48:24
171,Lebu,-37.6167,-73.65,53.98,93,100,15.3,CL,2022-09-16 00:48:24
172,Aklavik,68.2191,-135.0107,39.42,88,100,5.37,CA,2022-09-16 00:48:25
173,Kaitangata,-46.2817,169.8464,48.58,57,92,6.98,NZ,2022-09-16 00:48:25
174,Dryden,49.7833,-92.7503,53.89,94,100,12.66,CA,2022-09-16 00:49:25
175,Sulangan,11.1373,123.7228,82.26,74,100,23.15,PH,2022-09-16 00:49:26
176,Severo-Kurilsk,50.6789,156.125,52.52,77,23,14.79,RU,2022-09-16 00:49:26
177,Kruisfontein,-34.0033,24.7314,55.33,78,67,4.0,ZA,2022-09-16 00:45:41
178,Chase,50.8165,-119.6857,69.33,53,61,2.04,CA,2022-09-16 00:49:27
179,Victoria,22.2855,114.1577,90.25,69,6,1.99,HK,2022-09-16 00:49:27
180,Zelenoborskiy,66.845,32.3622,48.79,97,100,11.45,RU,2022-09-16 00:49:28
181,Alekseyevsk,57.8406,108.3492,44.6,63,7,3.47,RU,2022-09-16 00:49:28
182,Port-Cartier,50.0334,-66.8654,49.75,68,100,26.78,CA,2022-09-16 00:49:29
183,Rawson,-43.3002,-65.1023,65.84,34,100,13.06,AR,2022-09-16 00:49:29
184,Laguna,38.421,-121.4238,81.05,41,0,8.05,US,2022-09-16 00:49:30
185,Batticaloa,7.7102,81.6924,78.75,82,100,3.24,LK,2022-09-16 00:49:30
186,Khudumelapye,-23.8833,24.75,58.69,39,0,6.62,BW,2022-09-16 00:49:30
187,Qom,34.6401,50.8764,74.1,34,0,6.38,IR,2022-09-16 00:49:31
188,Dongfeng,42.6403,125.5118,60.58,98,100,5.23,CN,2022-09-16 00:49:31
189,Camacha,33.0833,-16.3333,69.22,88,20,13.8,PT,2022-09-16 00:49:31
190,Grand Gaube,-20.0064,57.6608,70.38,68,2,5.99,MU,2022-09-16 00:49:32
191,Kasongo-Lunda,-6.4667,16.8167,73.24,77,68,0.6,CD,2022-09-16 00:49:32
192,Korla,41.7597,86.1469,66.0,26,0,5.23,CN,2022-09-16 00:49:32
